activity_id,employee_id,date,activity_name,wellness_dimension,participation_status,effort_level,individual_score,streak_days,wellness_engagement_score,burnout_risk,reward_points,reward_earned
ACT000001,EMP008,01-01-2025,Creative Wellness Workshop,Creative,Skipped,Low,0,12,14.4,85.6,24,Wellness Kit
ACT000002,EMP177,01-01-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,1,47.1,52.9,21.5,Wellness Kit
ACT000003,EMP192,01-01-2025,Hydration Tracking,Physical,Skipped,Low,0,15,18,82,30,Wellness Kit
ACT000004,EMP207,01-01-2025,Guided Meditation,Mental,Completed,Low,20,15,64,36,50,Gym Membership
ACT000005,EMP246,01-01-2025,Creative Wellness Workshop,Creative,Completed,Low,10,6,50.2,49.8,22,Wellness Kit
ACT000006,EMP001,02-01-2025,Ergonomic Stretch Break,Physical,Skipped,Medium,0,7,8.4,91.6,14,Gift Voucher
ACT000007,EMP002,02-01-2025,Hydration Tracking,Physical,Completed,Medium,26,12,62.2,37.8,50,Gym Membership
ACT000008,EMP004,02-01-2025,Hydration Tracking,Physical,Completed,Medium,26,11,61,39,48,Gym Membership
ACT000009,EMP005,02-01-2025,Mindfulness Session,Mental,Completed,Medium,26,13,63.4,36.6,52,Trip Ticket / Cash Prize
ACT000010,EMP006,02-01-2025,Guided Meditation,Mental,Completed,Medium,26,13,63.4,36.6,52,Trip Ticket / Cash Prize
ACT000011,EMP007,02-01-2025,Mindfulness Session,Mental,Completed,Medium,26,18,69.4,30.6,62,Trip Ticket / Cash Prize
ACT000012,EMP009,02-01-2025,Walking Break,Physical,Skipped,Medium,0,5,6,94,10,Gift Voucher
ACT000013,EMP010,02-01-2025,Breathing Break,Mental,Completed,Medium,26,21,73,27,68,Trip Ticket / Cash Prize
ACT000014,EMP011,02-01-2025,Reflection Journaling,Mental,Completed,Low,20,0,46,54,20,Gift Voucher
ACT000015,EMP012,02-01-2025,Breathing Break,Mental,Skipped,Low,0,22,26.4,73.6,44,Gym Membership
ACT000016,EMP015,02-01-2025,Walking Break,Physical,Completed,Low,20,0,46,54,20,Gift Voucher
ACT000017,EMP017,02-01-2025,Walking Break,Physical,Skipped,High,0,18,21.6,78.4,36,Extra Leave Day
ACT000018,EMP018,02-01-2025,Walking Break,Physical,Skipped,Medium,0,10,12,88,20,Gift Voucher
ACT000019,EMP019,02-01-2025,Ergonomic Stretch Break,Physical,Skipped,Low,0,5,6,94,10,Gift Voucher
ACT000020,EMP020,02-01-2025,Breathing Break,Mental,Skipped,Medium,0,7,8.4,91.6,14,Gift Voucher
ACT000021,EMP021,02-01-2025,Gratitude Practice,Emotional,Completed,Low,15,16,63.7,36.3,47,Gym Membership
ACT000022,EMP022,02-01-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,11,59.1,40.9,41.5,Gym Membership
